"ANF. RÉPTEIS (""B"")",,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,FAR0102,,,
7:50-8:40,,FAR0102,,,
8:55-9:45,DBQ0023,DBQ0023,DBQ0023,DBQ0023,DMP0109
9:45-10:35,DBQ0023,DBQ0023,DBQ0023,DBQ0023,DMP0109
10:50-11:40,,DBQ0051,DMP0113-2,DBQ0051,DMP0113-2
11:40-12:30,,DBQ0051,DMP0113-2,DBQ0051,DMP0113-2
13:00-13:50,,,,DOL0158,DOL0158
13:50-14:40,,,,DOL0158,DOL0158
14:55-15:45,DBQ0025,DBF0033,DBQ0025,DBF0033,DOL0158
15:45-16:35,DBQ0025,DBF0033,DBQ0025,DBF0033,DOL0158
16:50-17:40,DBQ0025,DBQ0030,,DBQ0030,
17:40-18:30,,DBQ0030,,DBQ0030,
18:45-19:35,DBQ0023,DBQ0023,DBQ0023,ICE1044,FAR0102
19:35-20:25,DBQ0023,DBQ0023,DBQ0023,ICE1044,
20:35-21:25,,DBQ0033,FPE0684,DBQ0033,DBQ0023
21:25-22:15,,DBQ0033,FPE0684,DBQ0033,DBQ0023
,,,,,
SALA IMBURANA (2º andar; 2ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,,DOL0120,,DOL0057
8:55-9:45,DBF0210,DBF0210,DOL0120,DFS0069,DOL0057
9:45-10:35,DBF0210,DBF0210,DOL0120,DFS0069,DOL0057
10:50-11:40,DBF0005,BEZ0092,DOL0120,,DOL0057
11:40-12:30,DBF0005,BEZ0092,,,
13:00-13:50,DFS0053,BEZ0093,DFS0053,BEZ0093,DFS0053
13:50-14:40,DFS0053,BEZ0093,DFS0053,BEZ0093,DFS0053
14:55-15:45,DMP0084,DBG0145,DMP0084,DMP0084,DBG0145
15:45-16:35,DMP0084,DBG0145,DMP0084,DMP0084,DBG0145
16:50-17:40,,DFS0203,,DFS0203,
17:40-18:30,,DFS0203,,DFS0203,
18:45-19:35,DFS0068,ECL0035,DFS0068,FPE0682,ESPECIALIZAÇÃO
19:35-20:25,DFS0068,ECL0035,DFS0068,FPE0682,ESPECIALIZAÇÃO
20:35-21:25,DBG0147,BEZ0096,DBG0147,FPE0682,ESPECIALIZAÇÃO
21:25-22:15,DBG0147,BEZ0096,DBG0147,FPE0682,ESPECIALIZAÇÃO
,,,,,
SALA QUIXABEIRA (2º andar; 3ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,,DOL0049,,,
8:55-9:45,DBQ0308,DOL0049,DMP0050,DMP0050,DBQ0308
9:45-10:35,DBQ0308,DOL0049,DMP0050,DMP0050,DBQ0308
10:50-11:40,,DOL0049,DMP0050,DMP0050,
11:40-12:30,,,DMP0050,DMP0050,
13:00-13:50,,,DFS0052,,
13:50-14:40,DMP0108,DMP0130,DFS0052,DMP0108,
14:55-15:45,DMP0108,DMP0130,DFS0052,DMP0108,
15:45-16:35,,DMP0130,DFS0052,,
16:50-17:40,,DMP0114,,DMP0114,
17:40-18:30,,DMP0114,,DMP0114,
18:45-19:35,DBQ0031,DMP0405,DBQ0031,DMP0405,DBQ0031
19:35-20:25,DBQ0031,DMP0405,DBQ0031,DMP0405,DBQ0031
20:35-21:25,,BEZ0092,,,
21:25-22:15,,BEZ0092,,,
,,,,,
SALA FAVELEIRA (2º andar; 4ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,DBQ0049,DBQ0049,DBQ0049,DBQ0049,
7:50-8:40,DBQ0049,DBQ0049,DBQ0049,DBQ0049,
8:55-9:45,DBQ0031,DMP0042,DBQ0031,DMP0042,DBQ0031
9:45-10:35,DBQ0031,DMP0042,DBQ0031,DMP0042,DBQ0031
10:50-11:40,MOR0023,,DMP0113,,DMP0113
11:40-12:30,MOR0023,,DMP0113,,DMP0113
13:00-13:50,MCL0026 ,DBQ0032,MCL0026 ,DBQ0032,
13:50-14:40,MCL0026 ,DBQ0032,MCL0026 ,DBQ0032,
14:55-15:45,BEZ0086,ECL0035,BEZ0086,,
15:45-16:35,BEZ0086,ECL0035,BEZ0086,,
16:50-17:40,,DBQ0040,,DBQ0040,
17:40-18:30,,DBQ0040,,DBQ0040,
18:45-19:35,DBQ0041,ECL0006,ECL0003,,
19:35-20:25,DBQ0041,ECL0006,ECL0003,,
20:35-21:25,,ECL0006,ECL0003,DBQ0041,
21:25-22:15,,ECL0006,ECL0003,DBQ0041,
,,,,,
SALA JUCÁ (2º andar; 5ª sala),,,,,
horário,seg,ter,qua,qui,sex
7:00-7:50,,,,,
7:50-8:40,DOL0081,DOL0058,DOL0081,DOL0058,
8:55-9:45,DOL0081,DOL0058,DOL0081,DOL0058,FPE0003
